股票代码	上市公司名称	主营业务利润率	投资收益比率	净资产收益率	每股净利润	应收账款周转率	存货周转率	总资产周转率	流动比率	资产负债率	流动负债比率	净资产比率	每股净资产	主营业务收入增长率	净资产增长率	总资产增长率	股票价格
000809	第一纺织	-4.37 	1.13 	-54.00 	-0.49 	25.95 	6.70 	0.76 	0.46 	71.68 	69.89 	26.95 	0.91 	-13.84 	-35.06 	-14.37 	8.80 
000498	丹东化纤	-0.34 	0.00 	-23.69 	-0.25 	14.42 	7.54 	0.44 	0.71 	74.24 	81.70 	24.78 	1.07 	-11.57 	-19.15 	4.99 	4.46 
600695	大江股份	2.49 	-3.43 	-42.18 	-0.35 	13.18 	3.27 	0.72 	0.71 	59.72 	100.00 	35.30 	0.83 	-26.22 	-31.15 	-20.93 	7.16 
600822	物贸中心	3.01 	118.07 	0.87 	0.01 	49.61 	47.15 	5.57 	1.05 	66.36 	97.93 	33.18 	1.20 	40.60 	1.00 	31.10 	13.28 
600807	济南百货	3.98 	5.78 	-67.56 	-0.51 	3.19 	6.28 	0.07 	0.29 	76.35 	100.00 	22.45 	0.76 	-36.97 	-40.38 	-10.38 	8.47 
600153	厦门建发	5.50 	17.14 	10.84 	0.56 	32.29 	13.37 	1.91 	1.28 	60.17 	75.72 	36.87 	5.14 	24.67 	1.11 	12.12 	10.61 
600313	中农资源	6.43 	0.14 	-1.25 	-0.32 	31.52 	8.76 	1.33 	1.82 	46.43 	100.00 	52.99 	2.56 	-9.22 	-11.74 	-9.29 	5.88 
600061	中纺投资	6.59 	-91.60 	0.28 	0.00 	27.50 	2.52 	0.92 	1.63 	45.53 	97.97 	53.45 	1.29 	11.68 	0.28 	21.88 	5.37 
600500	中化国际	7.52 	7.04 	16.65 	0.47 	29.74 	17.16 	2.85 	1.63 	42.88 	94.51 	50.68 	2.80 	21.87 	8.36 	22.00 	9.38 
000034	深信泰丰	8.88 	0.81 	-30.63 	-0.31 	2.07 	2.39 	0.46 	0.91 	75.76 	91.03 	20.68 	1.01 	-44.65 	-13.39 	4.38 	7.37 
000728	北京化二	9.08 	-91.45 	0.35 	0.01 	32.06 	10.48 	0.51 	1.01 	39.84 	86.85 	60.16 	2.66 	8.44 	0.39 	-7.92 	6.55 
000985	大庆华科	9.96 	2.92 	2.61 	0.09 	66.07 	7.01 	0.97 	1.38 	22.86 	95.79 	74.51 	3.39 	29.07 	0.90 	8.34 	12.24 
000520	中国凤凰	10.05 	6.45 	3.94 	0.10 	19.94 	61.49 	0.61 	3.93 	13.17 	97.67 	86.83 	2.45 	0.29 	0.68 	-1.10 	5.56 
000671	石狮新发	10.31 	-3.59 	-1.18 	-0.02 	15.25 	1.91 	0.57 	1.68 	57.54 	90.72 	26.96 	1.76 	378.85 	-1.16 	116.31 	9.08 
000595	西北轴承	10.45 	6.87 	-22.52 	-0.45 	0.67 	1.36 	0.32 	1.24 	65.20 	99.60 	34.11 	2.00 	-11.99 	-16.59 	-8.46 	6.92 
600850	华东电脑	10.71 	12.59 	-14.94 	-0.17 	5.96 	10.53 	1.48 	1.38 	59.69 	96.66 	36.49 	1.16 	37.54 	-12.99 	3.72 	8.35 
000570	苏常柴Ａ	11.07 	1.02 	-64.64 	-1.28 	2.56 	3.79 	0.62 	0.97 	66.51 	94.72 	33.82 	1.97 	-9.38 	-40.40 	-25.36 	5.09 
000932	华菱管线	11.52 	-1.05 	10.71 	0.30 	23.57 	13.42 	1.14 	1.32 	33.03 	68.83 	54.09 	2.83 	14.88 	40.29 	15.76 	5.07 
000707	双环科技	11.64 	19.12 	2.24 	0.08 	9.32 	7.87 	0.45 	4.87 	20.46 	41.92 	79.54 	3.48 	14.47 	2.32 	5.82 	5.64 
000759	武汉中百	11.92 	0.93 	2.19 	0.08 	36.53 	5.75 	1.29 	0.80 	55.16 	99.98 	39.76 	3.71 	49.46 	51.16 	33.25 	6.31 
600653	申华控股	12.23 	23.55 	-25.62 	-0.28 	8.03 	9.55 	0.65 	0.99 	57.97 	100.00 	36.31 	1.10 	-21.78 	-20.34 	-8.55 	4.36 
000024	招商局Ａ	13.37 	-12.66 	9.89 	0.51 	17.00 	1.58 	0.77 	1.38 	50.19 	88.98 	46.39 	5.13 	16.06 	8.63 	12.13 	9.55 
600610	ST中纺机	14.06 	3.95 	30.02 	0.30 	14.39 	3.19 	0.85 	1.03 	50.80 	100.00 	45.66 	1.01 	34.41 	976.79 	25.83 	11.40 
000682	ST 东 方	14.19 	10.54 	-134.76 	-0.31 	0.90 	2.36 	0.23 	0.71 	85.65 	98.70 	13.82 	0.23 	-47.88 	-57.29 	-15.66 	3.28 
000530	大冷股份	14.97 	78.08 	7.43 	0.25 	5.51 	2.62 	0.51 	1.75 	35.05 	88.00 	63.37 	3.40 	6.01 	4.87 	1.49 	8.43 
000973	佛塑股份	15.33 	34.00 	10.04 	0.31 	7.21 	6.54 	0.75 	1.01 	50.42 	57.93 	46.44 	3.11 	4.29 	3.39 	16.13 	9.12 
600723	西单商场	15.45 	76.40 	1.37 	0.04 	43.28 	6.09 	0.15 	2.16 	25.96 	90.72 	69.02 	3.15 	-5.46 	1.41 	-89.41 	5.49 
600231	凌钢股份	15.99 	0.51 	14.41 	0.51 	76.90 	6.95 	1.22 	1.48 	37.38 	94.55 	62.62 	3.51 	33.16 	11.27 	26.45 	7.61 
000996	捷利股份	16.10 	-4.12 	-5.92 	-0.20 	4.31 	4.66 	0.25 	1.92 	26.02 	100.00 	68.38 	3.44 	-26.51 	-5.44 	6.21 	10.80 
000421	南京中北	16.49 	9.73 	6.72 	0.14 	56.91 	3.31 	0.78 	0.92 	48.92 	68.44 	49.39 	2.14 	75.49 	1.86 	-9.93 	7.54 
000831	关铝股份	16.68 	0.29 	11.24 	0.30 	10.25 	5.33 	0.74 	0.90 	57.27 	71.11 	42.61 	2.65 	4.94 	9.86 	26.39 	6.11 
000014	沙河股份	16.75 	-0.20 	15.58 	0.40 	11.65 	0.97 	0.68 	2.37 	66.82 	52.59 	33.18 	2.57 	2.18 	16.84 	-0.62 	11.17 
000786	北新建材	16.97 	23.75 	7.20 	0.16 	5.18 	4.53 	0.49 	1.65 	36.46 	88.03 	57.14 	2.19 	12.99 	4.68 	9.91 	5.74 
600596	新安股份	17.20 	3.92 	6.38 	0.24 	9.33 	5.63 	0.84 	1.00 	45.00 	89.12 	54.40 	3.75 	20.61 	1.89 	-0.66 	11.22 
600169	太原重工	17.39 	0.00 	1.22 	0.03 	1.67 	2.47 	0.43 	1.40 	57.90 	84.85 	41.94 	2.36 	22.75 	1.23 	24.81 	6.03 
600103	青山纸业	17.83 	-8.76 	0.88 	0.02 	4.98 	3.58 	0.37 	1.65 	27.74 	97.75 	68.78 	2.21 	-6.64 	0.92 	-3.07 	3.91 
600681	诚成文化	17.90 	3.56 	-15.87 	-0.25 	1.88 	1.61 	0.28 	1.07 	60.12 	90.16 	38.65 	1.55 	-3.05 	-13.92 	0.97 	7.39 
600265	景谷林业	18.05 	-1.52 	6.73 	0.21 	5.60 	4.59 	0.65 	1.51 	51.05 	75.22 	46.25 	3.13 	124.54 	7.21 	25.94 	10.91 
000962	东方钽业	18.58 	-5.73 	1.43 	0.04 	4.51 	0.59 	0.27 	3.83 	28.53 	63.57 	71.47 	2.99 	-65.81 	1.55 	-4.34 	9.20 
600185	海星科技	18.84 	24.10 	1.67 	0.04 	3.68 	2.39 	0.33 	1.28 	45.91 	90.02 	52.10 	2.35 	-5.01 	1.70 	22.79 	8.87 
000951	小鸭电器	18.97 	0.00 	-69.55 	-0.82 	1.44 	0.77 	0.22 	0.85 	76.74 	94.96 	23.26 	1.18 	-37.45 	-40.81 	-8.91 	8.51 
600389	江山股份	18.98 	-5.67 	6.95 	0.18 	16.98 	5.60 	0.78 	1.03 	51.17 	98.58 	44.16 	2.53 	19.66 	5.30 	32.77 	10.09 
600075	新疆天业	19.00 	1.99 	4.09 	0.20 	6.78 	2.42 	0.53 	1.04 	57.96 	91.96 	39.43 	4.89 	13.19 	3.53 	9.02 	7.34 
600667	太极实业	19.42 	-0.87 	-10.60 	-0.14 	2.27 	2.50 	0.36 	0.99 	71.27 	93.70 	28.43 	1.36 	-1.23 	-9.93 	3.38 	5.18 
000045	深纺织Ａ	19.56 	485.80 	0.39 	0.01 	13.58 	7.47 	0.62 	0.91 	50.50 	98.89 	40.80 	1.87 	33.03 	0.36 	1.63 	9.67 
600006	东风汽车	19.64 	-1.50 	18.27 	0.62 	51.89 	10.38 	1.21 	1.45 	45.46 	99.90 	51.03 	3.37 	58.00 	14.10 	33.64 	13.72 
600836	界龙实业	20.34 	2.62 	3.14 	0.06 	4.68 	2.99 	0.70 	1.05 	64.20 	99.39 	28.27 	1.86 	0.57 	3.30 	1.79 	18.13 
600089	特变电工	21.03 	9.32 	9.81 	0.34 	3.57 	3.01 	0.71 	1.11 	63.03 	81.61 	32.99 	3.44 	34.44 	8.37 	21.77 	8.50 
600118	中国卫星	21.37 	3.94 	8.28 	0.13 	13.21 	15.48 	0.71 	1.89 	40.73 	96.02 	48.66 	1.60 	23.31 	9.07 	77.33 	16.32 
600864	岁宝热电	21.67 	82.03 	2.43 	0.07 	1.51 	5.05 	0.25 	0.83 	49.54 	86.48 	42.61 	2.90 	7.78 	0.08 	1.48 	8.83 
000910	大亚科技	21.75 	2.01 	7.11 	0.27 	3.21 	3.54 	0.55 	1.23 	41.99 	98.53 	54.12 	3.78 	46.80 	7.45 	31.79 	8.61 
600216	浙江医药	22.06 	1.17 	3.03 	0.04 	3.80 	3.27 	0.70 	0.91 	61.52 	96.93 	37.83 	1.38 	28.41 	3.19 	4.57 	7.48 
000739	青岛东方	22.27 	-11.76 	11.64 	0.22 	10.12 	5.61 	1.03 	0.65 	58.45 	100.00 	39.37 	1.86 	364.85 	9.84 	17.35 	9.60 
000410	沈阳机床	22.47 	-4.95 	0.56 	0.01 	2.42 	1.78 	0.28 	0.81 	79.31 	87.50 	19.66 	2.29 	44.92 	0.31 	7.05 	6.26 
000797	中国武夷	22.64 	20.88 	2.83 	0.09 	6.04 	0.76 	0.27 	1.49 	60.60 	90.22 	36.52 	3.28 	-2.10 	4.06 	13.28 	6.35 
000769	菲菲农业	23.62 	29.19 	-3.96 	-0.10 	0.09 	0.09 	0.01 	1.13 	21.89 	99.66 	76.04 	2.40 	-97.25 	0.15 	-12.06 	5.65 
000617	石油济柴	24.14 	34.58 	17.89 	0.33 	2.27 	1.33 	0.51 	1.15 	66.73 	77.66 	33.27 	1.86 	14.78 	16.10 	29.25 	12.18 
600580	卧龙科技	24.76 	-0.86 	7.09 	0.27 	3.23 	3.47 	0.47 	2.19 	30.15 	100.00 	65.92 	3.85 	2.43 	255.61 	152.38 	14.10 
600200	江苏吴中	25.57 	2.66 	7.60 	0.22 	3.92 	5.84 	0.57 	2.40 	31.84 	83.58 	64.44 	2.86 	-0.35 	5.52 	11.12 	16.79 
600561	江西长运	26.16 	1.25 	11.04 	0.31 	24.94 	626.61 	0.43 	1.57 	42.19 	67.12 	55.22 	2.80 	25.96 	138.04 	94.52 	14.52 
000210	金路集团	26.42 	11.28 	12.93 	0.21 	9.10 	1.93 	0.46 	0.86 	62.98 	93.33 	32.76 	1.65 	48.45 	12.68 	36.83 	8.29 
600133	东湖高新	27.61 	-6.08 	6.10 	0.15 	0.84 	0.83 	0.31 	1.92 	48.18 	90.59 	50.05 	2.46 	-16.42 	6.50 	16.55 	8.68 
000639	金德发展	28.63 	-0.95 	12.51 	0.15 	14.74 	12.31 	0.65 	3.20 	55.19 	29.20 	42.60 	1.21 	69.15 	7.52 	15.15 	17.60 
600779	全兴股份	28.80 	-4.76 	1.30 	0.03 	2.44 	1.18 	0.42 	1.23 	46.70 	97.75 	47.59 	2.42 	-8.04 	1.37 	0.38 	5.74 
600624	复旦复华	30.50 	51.55 	1.46 	0.02 	1.63 	0.91 	0.25 	1.08 	56.40 	99.50 	42.56 	1.62 	-13.70 	0.35 	-5.49 	9.65 
600639	浦东金桥	31.03 	25.80 	6.18 	0.14 	19.21 	0.18 	0.22 	1.88 	45.08 	100.00 	54.18 	2.28 	70.71 	6.58 	6.24 	10.25 
000540	世纪中天	31.14 	19.60 	1.46 	0.02 	6.76 	0.21 	0.15 	1.38 	60.87 	91.19 	38.97 	1.46 	-14.01 	1.48 	11.21 	10.32 
000628	倍特高新	31.24 	-136.66 	0.49 	0.01 	6.40 	0.63 	0.36 	1.14 	68.58 	93.18 	26.94 	2.73 	-1.84 	0.09 	8.64 	7.39 
600330	天通股份	31.85 	5.56 	10.79 	0.28 	3.81 	3.12 	0.41 	1.29 	26.82 	100.00 	73.18 	2.55 	14.92 	6.27 	13.37 	11.73 
000585	ST东北电	32.29 	82.30 	12.89 	0.08 	1.42 	2.13 	0.33 	0.85 	71.73 	86.74 	28.00 	0.61 	-25.78 	68.21 	-50.59 	4.59 
000400	许继电气	32.84 	0.15 	9.71 	0.40 	1.41 	2.89 	0.48 	1.85 	41.06 	97.78 	56.70 	4.12 	5.43 	7.27 	6.41 	8.61 
600765	力源液压	36.47 	6.34 	0.98 	0.01 	2.72 	1.42 	0.28 	2.30 	30.46 	74.91 	69.54 	1.39 	18.93 	0.69 	3.84 	9.74 
600298	安琪酵母	36.87 	11.07 	5.11 	0.22 	8.73 	2.33 	0.42 	2.26 	20.28 	82.20 	79.58 	4.26 	23.62 	4.65 	9.19 	12.97 
600737	新疆屯河	37.12 	28.78 	11.15 	0.20 	5.97 	1.84 	0.37 	0.66 	74.20 	90.87 	15.98 	1.76 	153.31 	13.92 	48.43 	19.19 
000693	聚友网络	39.71 	0.42 	6.09 	0.20 	8.72 	10.65 	0.23 	0.57 	58.81 	84.08 	36.09 	3.22 	31.79 	2.35 	11.30 	14.02 
000004	北大高科	45.76 	-35.03 	5.73 	0.07 	2.98 	3.40 	0.50 	1.50 	52.95 	90.97 	36.99 	1.16 	95.57 	1.74 	18.74 	14.58 
000606	青海明胶	50.44 	-0.66 	3.00 	0.06 	1.75 	1.18 	0.23 	2.40 	49.59 	46.04 	47.92 	1.87 	0.57 	3.09 	34.50 	12.18 
000069	华侨城Ａ	51.16 	70.67 	22.74 	0.60 	22.52 	38.40 	0.28 	0.26 	43.45 	99.70 	50.97 	2.66 	40.47 	20.84 	17.65 	15.02 
600247	物华股份	54.41 	-1.25 	6.07 	0.20 	77.94 	0.55 	0.19 	1.21 	36.59 	72.80 	61.33 	3.27 	24.99 	3.65 	16.59 	12.49 
600538	北海国发	59.00 	-0.33 	16.68 	0.36 	5.21 	1.34 	0.45 	1.19 	37.28 	100.00 	60.39 	2.16 	5.27 	9.75 	13.82 	10.89 
