股票代码	上市公司名称	主营业务利润率	投资收益比率	净资产收益率	每股净利润	应收账款周转率	存货周转率	总资产周转率	流动比率	资产负债率	流动负债比率	净资产比率	每股净资产	主营业务收入增长率	净资产增长率	总资产增长率	股票价格
000809	第一纺织	12.3	4.12	-1.57	-0.06	14.057	7.33	0.81	0.81	66.35	83.14	29.5	1.4	-12.12	-1.83	-2.96	8.8
000498	丹东化纤	12.3	-3.98	-1.57	-0.06	14.057	7.33	0.53	0.81	66.35	83.14	29.5	1.4	-12.12	-1.83	10.06	4.46
600695	大江股份	12.3	-3.98	-1.57	-0.06	8.63	4.05	0.81	0.81	66.35	102.65	29.5	1.4	-12.12	-1.83	-2.96	7.16
600822	物贸中心	12.3	12.53	-1.57	-0.06	14.057	7.33	0.81	1.27	66.35	102.65	29.5	1.4	36.24	3.65	23.08	13.28
600807	济南百货	12.3	4.12	-1.57	-0.06	-0.89	7.33	0.25	0.81	66.35	102.65	29.5	1.4	-12.12	-1.83	-2.96	8.47
600153	厦门建发	12.3	12.53	10.07	0.3	14.057	7.33	0.81	1.27	66.35	83.14	29.5	3.29	36.24	3.65	10.06	10.61
600313	中农资源	12.3	4.12	-1.57	-0.06	14.057	7.33	0.81	1.73	52.14	102.65	45.31	2.34	-12.12	-1.83	-2.96	5.88
600061	中纺投资	12.3	-3.98	-1.57	-0.06	14.057	4.05	0.81	1.73	52.14	102.65	61.12	1.4	12.06	-1.83	23.08	5.37
600500	中化国际	12.3	4.12	10.07	0.3	14.057	7.33	0.81	1.73	37.93	92.89	45.31	2.34	12.06	9.13	23.08	9.38
000034	深信泰丰	12.3	4.12	-1.57	-0.06	-0.89	0.77	0.53	0.81	66.35	92.89	29.5	1.4	-12.12	-1.83	10.06	7.37
000728	北京化二	12.3	-3.98	-1.57	-0.06	14.057	7.33	0.53	0.81	37.93	83.14	61.12	2.34	12.06	-1.83	-2.96	6.55
000985	大庆华科	12.3	4.12	4.25	0.12	14.057	7.33	0.81	1.27	37.93	92.89	61.12	3.29	36.24	-1.83	10.06	12.24
000520	中国凤凰	12.3	4.12	4.25	0.12	14.057	7.33	0.53	1.73	37.93	92.89	61.12	2.34	12.06	-1.83	-2.96	5.56
000671	石狮新发	12.3	-3.98	-1.57	-0.06	14.057	0.77	0.53	1.73	52.14	92.89	29.5	1.4	36.24	-1.83	23.08	9.08
000595	西北轴承	12.3	4.12	-1.57	-0.06	-0.89	0.77	0.25	1.27	66.35	102.65	29.5	2.34	-12.12	-1.83	-2.96	6.92
600850	华东电脑	12.3	12.53	-1.57	-0.06	8.63	7.33	0.81	1.27	66.35	92.89	29.5	1.4	36.24	-1.83	10.06	8.35
000570	苏常柴Ａ	12.3	4.12	-1.57	-0.06	-0.89	4.05	0.53	0.81	66.35	92.89	29.5	2.34	-12.12	-1.83	-2.96	5.09
000932	华菱管线	12.3	-3.98	10.07	0.3	14.057	7.33	0.81	1.27	37.93	83.14	61.12	3.29	12.06	9.13	10.06	5.07
000707	双环科技	12.3	12.53	4.25	0.12	8.63	7.33	0.53	1.73	37.93	83.14	61.12	3.29	12.06	3.65	10.06	5.64
000759	武汉中百	12.3	4.12	4.25	0.12	14.057	7.33	0.81	0.81	52.14	102.65	45.31	3.29	36.24	9.13	23.08	6.31
600653	申华控股	12.3	12.53	-1.57	-0.06	8.63	7.33	0.53	0.81	52.14	102.65	29.5	1.4	-12.12	-1.83	-2.96	4.36
000024	招商局Ａ	12.3	-3.98	10.07	0.3	14.057	0.77	0.81	1.27	52.14	92.89	45.31	3.29	12.06	9.13	10.06	9.55
600610	ST中纺机	12.3	4.12	10.07	0.3	14.057	4.05	0.81	0.81	52.14	102.65	45.31	1.4	36.24	9.13	23.08	11.4
000682	ST 东 方	12.3	12.53	-1.57	-0.06	-0.89	0.77	0.25	0.81	66.35	102.65	29.5	1.4	-12.12	-1.83	-2.96	3.28
